roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast,bonferroni_threshold,p_bonferroni,survives_bonferroni
L_MTG,69,24,22,23,-0.14821706137218799,0.05119623607060413,-2.895077309351093,62.0,0.005227917704483702,-0.9025989957225533,-1.593839936532857,-0.3770773573631593,sentences_vs_reversed,full_n71,0.05378324776162505,0.025,0.010455835408967403,True
L_STS,69,24,22,23,-0.11143436088677719,0.04129576766702106,-2.698445075178226,62.0,0.008963874626937507,-0.8412949136112219,-1.4563648256655686,-0.3789192196600544,sentences_vs_reversed,full_n71,0.05378324776162505,0.025,0.017927749253875015,True
L_MTG,65,22,20,23,-0.14747693960792335,0.05399134410948197,-2.731492279741623,58.0,0.008339489437578285,-0.869864652633643,-1.6001987814018992,-0.38425137781331536,sentences_vs_reversed,clean_n67,0.07653196648840362,0.025,0.01667897887515657,True
L_STS,65,22,20,23,-0.11057904680711822,0.04302395287693577,-2.5701740405725784,58.0,0.012755327748067268,-0.8184916229095663,-1.4619930768612623,-0.31473333887137206,sentences_vs_reversed,clean_n67,0.07653196648840362,0.025,0.025510655496134536,True
