roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
L_STG_posterior,65,22,20,23,0.038828165674046934,0.05612255867799184,0.6918459633465213,58.0,0.4917944391659081,0.22032364983998287,-0.4038533730301727,0.8445006727101384,words_vs_baseline,clean_n67,0.9123631774776304
L_STG_anterior,65,22,20,23,-0.012136671215871711,0.05504333277332829,-0.22049302984343705,58.0,0.8262615133897664,-0.07021769537311065,-0.694394718243266,0.5539593274970448,words_vs_baseline,clean_n67,0.982146648531231
L_MTG,65,22,20,23,0.055536387351737035,0.06513295897004032,0.852661820220428,58.0,0.39735426992219963,0.27153669207154824,-0.3526403307986072,0.8957137149417037,words_vs_baseline,clean_n67,0.9123631774776304
L_IFG_triangularis,65,22,20,23,-0.0055586847900188155,0.044175897487668404,-0.12583071552922062,58.0,0.9003010944869617,-0.04007175581869917,-0.6642487786888546,0.5841052670514564,words_vs_baseline,clean_n67,0.982146648531231
L_IFG_opercularis,65,22,20,23,0.04287781465547217,0.03820294917454966,1.1223692301754769,58.0,0.26633036074473976,0.3574270840061211,-0.2667499388640343,0.9816041068762766,words_vs_baseline,clean_n67,0.9123631774776304
L_STS,65,22,20,23,0.036500002876123504,0.05808445981519672,0.6283953228153111,58.0,0.5322118535286178,0.2001173070308118,-0.4240597158393436,0.8242943299009673,words_vs_baseline,clean_n67,0.9123631774776304
R_STG_posterior,65,22,20,23,0.017204004926558998,0.0658954479030653,0.26108032457517766,58.0,0.7949553841931879,0.08314303047107566,-0.5410339923990799,0.7073200533412312,words_vs_baseline,clean_n67,0.982146648531231
R_STG_anterior,65,22,20,23,-0.03734663608676267,0.04701836293106276,-0.7942989453188629,58.0,0.43025948801496106,-0.25295058722348585,-0.8771276100936414,0.3712264356466697,words_vs_baseline,clean_n67,0.9123631774776304
R_MTG,65,22,20,23,0.05389281382025779,0.05234328830740814,1.0296031365807474,58.0,0.3074709514837155,0.3278850104738495,-0.29629201239630587,0.9520620333440049,words_vs_baseline,clean_n67,0.9123631774776304
R_IFG,65,22,20,23,-0.0008799369210564546,0.043954120882668715,-0.020019440802953637,58.0,0.9840965763241466,-0.006375344367302507,-0.6305523672374579,0.617801678502853,words_vs_baseline,clean_n67,0.9840965763241466
