sample,roi,p_value,p_bonferroni,survives_bonferroni,d_adj,d_adj_ci_lo,d_adj_ci_hi
full_n71,L_MTG,0.005227917704483702,0.010455835408967403,True,-0.9025989957225533,-1.593839936532857,-0.3770773573631593
full_n71,L_STS,0.008963874626937507,0.017927749253875015,True,-0.8412949136112219,-1.4563648256655686,-0.3789192196600544
clean_n67,L_MTG,0.008339489437578285,0.01667897887515657,True,-0.869864652633643,-1.6001987814018992,-0.38425137781331536
clean_n67,L_STS,0.012755327748067268,0.025510655496134536,True,-0.8184916229095663,-1.4619930768612623,-0.31473333887137206
