roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
L_STG_posterior,69,24,22,23,0.031588443599761144,0.060432168451707624,0.5227090870486305,62.0,0.6030396650058881,0.1629651462160421,-0.44810455679397254,0.7740348492260567,words_vs_baseline,full_n71,0.8066208142424643
L_STG_anterior,69,24,22,23,-0.02380019399980062,0.05456616962864279,-0.4361712423975507,62.0,0.6642275461197179,-0.13598522018029613,-0.7470549231903107,0.4750844828297185,words_vs_baseline,full_n71,0.8066208142424643
L_MTG,69,24,22,23,0.04578663242125745,0.0632875460601203,0.7234698652679981,62.0,0.47211204928318673,0.22555638556429122,-0.3855133174457233,0.8366260885743058,words_vs_baseline,full_n71,0.8066208142424643
L_IFG_triangularis,69,24,22,23,-0.019628027145851837,0.04552051530880511,-0.431190794144089,62.0,0.6678252070195622,-0.13443246455014327,-0.7455021675601579,0.47663723845987127,words_vs_baseline,full_n71,0.8066208142424643
L_IFG_opercularis,69,24,22,23,0.04126052552641897,0.03699609928143024,1.1152669153725947,62.0,0.2690403249563701,0.3477070524253197,-0.26336265058469494,0.9587767554353342,words_vs_baseline,full_n71,0.8066208142424643
L_STS,69,24,22,23,0.02189316594124468,0.05666542314615361,0.3863584656339192,62.0,0.7005539707328661,0.12045507798485915,-0.4906146250251554,0.7315247809948737,words_vs_baseline,full_n71,0.8066208142424643
R_STG_posterior,69,24,22,23,0.009680166237254276,0.06296048369096868,0.15374987086769856,62.0,0.8783063148907019,0.047934636698445235,-0.5631350663115694,0.6590043397084598,words_vs_baseline,full_n71,0.8783063148907019
R_STG_anterior,69,24,22,23,-0.04488757232240567,0.045349362948562316,-0.9898170427072939,62.0,0.32611085363843434,-0.30859551342928415,-0.9196652164392987,0.3024741895807304,words_vs_baseline,full_n71,0.8066208142424643
R_MTG,69,24,22,23,0.043828403248494276,0.05013392654108071,0.8742264225520106,62.0,0.38536880136114016,0.27255779611855335,-0.33851190689146127,0.883627499128568,words_vs_baseline,full_n71,0.8066208142424643
R_IFG,69,24,22,23,-0.014881756209865583,0.044537641329625184,-0.3341388489732764,62.0,0.7394024130555923,-0.10417455469704498,-0.7152442577070596,0.5068951483129697,words_vs_baseline,full_n71,0.8066208142424643
L_Heschl,69,24,22,23,-0.026452285412440296,0.053674281247941574,-0.4928298022333508,62.0,0.6238737828169306,-0.15364967392102954,-0.7647193769310441,0.45742002908898505,words_vs_baseline,full_n71,0.8066208142424643
R_Heschl,69,24,22,23,0.029265755574682938,0.04543509363327909,0.6441222683702611,62.0,0.5218720203128187,0.2008181649158941,-0.41025153809412057,0.8118878679259087,words_vs_baseline,full_n71,0.8066208142424643
L_STG_posterior,69,24,22,23,-0.0017865276958186765,0.061459836142125863,-0.02906821443010898,62.0,0.9769035537393368,-0.009062604672876591,-0.6201323076828913,0.6020070983371381,sentences_vs_baseline,full_n71,0.9769035537393368
L_STG_anterior,69,24,22,23,-0.02512133331180275,0.050148181535749244,-0.5009420589636824,62.0,0.6181857708825341,-0.15617883428375648,-0.7672485372937711,0.4548908687262582,sentences_vs_baseline,full_n71,0.9769035537393368
L_MTG,69,24,22,23,-0.013693015940884592,0.05809841593778162,-0.23568656253121648,62.0,0.8144526976781181,-0.07348006008642943,-0.684549763096444,0.537589642923585,sentences_vs_baseline,full_n71,0.9769035537393368
L_IFG_triangularis,69,24,22,23,-0.01014370033958293,0.04150217021414402,-0.2444137327576652,62.0,0.8077174703645387,-0.07620093218765081,-0.6872706351976654,0.534868770822364,sentences_vs_baseline,full_n71,0.9769035537393368
L_IFG_opercularis,69,24,22,23,0.024114025167777924,0.030844993391186938,0.7817808505242801,62.0,0.43731876136802234,0.24373601640244313,-0.3673336866075715,0.8548057194124579,sentences_vs_baseline,full_n71,0.9769035537393368
