roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast,bonferroni_threshold,p_bonferroni,survives_bonferroni
L_MTG,69,24,22,23,-0.14821706137218763,0.051196236070604056,-2.89507730935109,62.0,0.005227917704483744,-0.9025989957225511,-1.5938399365328588,-0.37707735736315906,sentences_vs_reversed,full_n69,0.05378324776162534,0.025,0.010455835408967488,True
L_STS,69,24,22,23,-0.11143436088677691,0.04129576766702099,-2.6984450751782236,62.0,0.008963874626937556,-0.8412949136112198,-1.4563648256655655,-0.3789192196600537,sentences_vs_reversed,full_n69,0.05378324776162534,0.025,0.01792774925387511,True
L_MTG,65,22,20,23,-0.14747693960792377,0.05399134410948209,-2.731492279741625,58.0,0.008339489437578246,-0.8698646526336454,-1.6001987814018992,-0.3842513778133167,sentences_vs_reversed,motion_clean_n65,0.07653196648840328,0.025,0.016678978875156493,True
L_STS,65,22,20,23,-0.11057904680711853,0.04302395287693586,-2.57017404057258,58.0,0.012755327748067213,-0.8184916229095688,-1.4619930768612635,-0.31473333887137317,sentences_vs_reversed,motion_clean_n65,0.07653196648840328,0.025,0.025510655496134425,True
