roi,comparison,group1,group2,mean_diff,t_stat,q_stat,df,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,0.029986295427965104,0.568146503977114,0.8034804913392942,43.67993792800206,0.8376807891831131,0.16753726385790346
L_STG_posterior,AVH+_vs_HC,AVH+,HC,-0.058978967327867476,-0.8655720662646224,1.2241037553227323,42.07395799631175,0.6647072910993186,-0.24807367993518414
L_STG_posterior,AVH-_vs_HC,AVH-,HC,-0.08896526275583258,-1.3405267894071935,1.895791166304115,40.234246284389656,0.38151050104347495,-0.3836213420401904
L_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,0.03219433215217313,0.6567260615039962,0.9287509029428188,43.20186215742468,0.7895734934398736,0.193657950332101
L_STG_anterior,AVH+_vs_HC,AVH+,HC,0.025828171675912955,0.4584210107117201,0.6483052106252964,45.57428866197572,0.8909071269732866,0.13195035289839255
L_STG_anterior,AVH-_vs_HC,AVH-,HC,-0.006366160476260173,-0.11929665179568184,0.16871094291515393,43.73561692702874,0.9921860006021055,-0.034245316254611226
L_MTG,AVH+_vs_AVH-,AVH+,AVH-,-0.037261081865185994,-0.5705815897783942,0.806924222705007,42.88513406700633,0.8364246549809154,-0.16825533148579502
L_MTG,AVH+_vs_HC,AVH+,HC,-0.04420846336051022,-0.72004141592829,1.0182923358761145,40.786470567953195,0.7531131876780603,-0.2092299987581508
L_MTG,AVH-_vs_HC,AVH-,HC,-0.0069473814953242286,-0.125142311515076,0.1769779541713392,44.157475181648046,0.991404996001507,-0.03624695235778061
L_IFG_triangularis,AVH+_vs_AVH-,AVH+,AVH-,0.035352985534467474,0.931991612693906,1.3180351786896947,41.57443989497571,0.6233882600552081,0.2748293329910935
L_IFG_triangularis,AVH+_vs_HC,AVH+,HC,-0.02261467098047449,-0.5510868890729802,0.779354552573006,41.99666370929348,0.8464853219220028,-0.15793135016718318
L_IFG_triangularis,AVH-_vs_HC,AVH-,HC,-0.05796765651494196,-1.2860929928538585,1.8188101529669307,45.72717311247317,0.41016725432653256,-0.3703334037470531
L_IFG_opercularis,AVH+_vs_AVH-,AVH+,AVH-,-0.010817490126330244,-0.31108594759568603,0.4399419661535051,43.586628236020246,0.9481163874848335,-0.09173424129161553
L_IFG_opercularis,AVH+_vs_HC,AVH+,HC,-0.014051639714237792,-0.42523988735902657,0.6013800159651427,45.914794059778515,0.9053433067088987,-0.12275505470196463
L_IFG_opercularis,AVH-_vs_HC,AVH-,HC,-0.0032341495879075477,-0.09298814688350962,0.13150509846260078,45.10878033704467,0.9952447088495522,-0.02689774799576407
L_STS,AVH+_vs_AVH-,AVH+,AVH-,-0.010927597579100834,-0.2152654261809125,0.3044312852150708,43.3354576430018,0.9747926644193139,-0.06347831105726269
L_STS,AVH+_vs_HC,AVH+,HC,-0.044686035606362196,-0.9287197467929443,1.3134080615582888,45.983852346829046,0.6251127641236822,-0.2679601289679933
L_STS,AVH-_vs_HC,AVH-,HC,-0.03375843802726136,-0.6577413557901539,0.930186745892103,45.07825477834873,0.788957350979584,-0.19026792434774484
R_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,0.03503473405118865,0.46646319410388687,0.6596785754495904,40.993722629938055,0.887314496254177,0.13755249162587713
R_STG_posterior,AVH+_vs_HC,AVH+,HC,-0.048807603117645454,-0.6658747412869729,0.941689089969713,40.24557988005356,0.7844699183881185,-0.19357435122735686
R_STG_posterior,AVH-_vs_HC,AVH-,HC,-0.0838423371688341,-1.3521138317962638,1.91217771879853,45.41601685381424,0.37434507542373663,-0.3908905575283757
R_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,0.10096816396765898,2.4757979548502536,3.5013070454448005,43.9982170805912,0.044521553763860466,0.7300729870148301
R_STG_anterior,AVH+_vs_HC,AVH+,HC,0.008322173793962148,0.18078805981194523,0.25567292610117126,44.60565613039185,0.9821499949809476,0.051951327378758384
R_STG_anterior,AVH-_vs_HC,AVH-,HC,-0.09264599017369682,-2.007600745446485,2.839176202040755,44.69711154311522,0.12210099530779195,-0.5769771883040132
R_MTG,AVH+_vs_AVH-,AVH+,AVH-,-0.018215402926477928,-0.34645825965006044,0.48996596959329475,37.00052336288815,0.9360913426554138,-0.10216496705765236
R_MTG,AVH+_vs_HC,AVH+,HC,-0.0352863420525856,-0.831567417134384,1.1760139193390107,45.63736575137814,0.6855464223214558,-0.23939275142249947
R_MTG,AVH-_vs_HC,AVH-,HC,-0.017070939126107673,-0.3115216992566269,0.44055821206223433,40.59926122344469,0.9479795855510009,-0.0905358821098147
R_IFG,AVH+_vs_AVH-,AVH+,AVH-,0.04433572124232981,0.9322613624636379,1.3184166624724967,42.09487449691294,0.6231786650787756,0.27490887785853674
R_IFG,AVH+_vs_HC,AVH+,HC,0.0038669474898456596,0.09810567016810415,0.13874236929743444,44.40205882076425,0.9947084091973625,0.02840723280664029
R_IFG,AVH-_vs_HC,AVH-,HC,-0.04046877375248415,-0.8971419556052963,1.2687503209909312,39.87774005150076,0.6452428799515287,-0.26088072876286117
L_Heschl,AVH+_vs_AVH-,AVH+,AVH-,0.04809010638754167,0.931829537962851,1.3178059704069187,43.91972161364485,0.6233112258043327,0.27478153976031344
L_Heschl,AVH+_vs_HC,AVH+,HC,-0.013113164094317203,-0.19575326835861723,0.27683692699161655,41.28516206244658,0.9791073714763755,-0.056065720252308056
L_Heschl,AVH-_vs_HC,AVH-,HC,-0.061203270481858876,-0.9254595645142926,1.308797467564011,40.35712803059416,0.6275621144614789,-0.2648657548081983
R_Heschl,AVH+_vs_AVH-,AVH+,AVH-,0.03262688392854256,0.5779575244772628,0.8173553695913252,43.98223339090244,0.8325490259964023,0.1704303759667389
R_Heschl,AVH+_vs_HC,AVH+,HC,-0.04601958833375708,-0.8318290428652014,1.1763839139957986,45.81334059862116,0.6853769077272334,-0.2402299395076073
