roi,F_stat,df_num,df_den,p_value,eta_squared,p_fdr
L_STG_posterior,0.802517264340603,2,44.178293073726,0.45462474336789754,0.02085618366101488,0.6091216348938251
L_STG_anterior,2.324985086883227,2,45.12606876762228,0.10938970535685213,0.06674747560739204,0.3977271801014374
L_MTG,4.014086601153875,2,45.16409556973077,0.024855823363750498,0.09288581278019087,0.149134940182503
L_IFG_triangularis,0.11562039200400226,2,41.091381188082515,0.891102087406096,0.0035466535179629714,0.9424549565473878
L_IFG_opercularis,1.9293574870401602,2,43.551570153573586,0.15745411768204734,0.03900615745352279,0.3977271801014374
L_STS,4.267866296849603,2,44.72334362231284,0.020121381313501493,0.08758385851261556,0.149134940182503
R_STG_posterior,0.0934701020023916,2,44.868848768001335,0.9109421133084765,0.002623693993446806,0.9424549565473878
R_STG_anterior,1.8718127053110512,2,44.641973219828664,0.16571965837559893,0.06042948381130346,0.3977271801014374
R_MTG,1.3883589432413521,2,43.53084934442223,0.260311484504515,0.03544716070283308,0.52062296900903
R_IFG,1.1062423017597758,2,45.32599581742896,0.33956475649091095,0.028694171713152618,0.5821110111272759
L_Heschl,0.797186674419565,2,45.10074217163288,0.4568412261703688,0.02152978060332039,0.6091216348938251
R_Heschl,0.05934806769138886,2,43.450202199612626,0.9424549565473878,0.0015318257562787687,0.9424549565473878
