roi,comparison,group1,group2,mean_diff,t_stat,q_stat,df,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,-0.037178179826182496,-0.7664293228995733,1.0838947430450048,39.73881195657925,0.7255381393298658,-0.22600767724557275
L_STG_posterior,AVH+_vs_HC,AVH+,HC,-0.0749616486111494,-1.417858992613415,2.0051554168865455,39.907277828487956,0.3415234168064035,-0.4056506394309983
L_STG_posterior,AVH-_vs_HC,AVH-,HC,-0.03778346878496691,-0.6327437112849524,0.8948347380054658,45.70313036429018,0.802933715125891,-0.18218734164534592
L_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,0.025982942868903375,0.5183325770479242,0.7330329602809718,39.363308131080856,0.8628767309127818,0.15284793819750978
L_STG_anterior,AVH+_vs_HC,AVH+,HC,0.0787904807030152,1.723779019167852,2.4377916674413678,44.755928352323814,0.20761811312753886,0.4954488171850197
L_STG_anterior,AVH-_vs_HC,AVH-,HC,0.05280753783411182,0.9719955916543588,1.374609348284455,44.4431223652224,0.5981903583708457,0.28143364718665653
L_MTG,AVH+_vs_AVH-,AVH+,AVH-,-0.05064717356182277,-0.8359051240772649,1.182148363327233,42.259474348284826,0.6830445771132616,-0.2464949733077079
L_MTG,AVH+_vs_HC,AVH+,HC,-0.0570090517745451,-1.0673539492052402,1.5094664308185344,45.78059007571492,0.5389336898064937,-0.30828355405232427
L_MTG,AVH-_vs_HC,AVH-,HC,-0.006361878212722327,-0.1060633122842301,0.14999617470257112,42.84896618271069,0.9938181050664737,-0.0307639607433055
L_IFG_triangularis,AVH+_vs_AVH-,AVH+,AVH-,0.0018625057215037259,0.04334525078106805,0.06129944151904944,32.64116997310339,0.998964730831835,0.012781817130370512
L_IFG_triangularis,AVH+_vs_HC,AVH+,HC,-0.026266641285850136,-0.7774483446085823,1.0994779929899687,42.352372773282745,0.7187698226597155,-0.22287222143229388
L_IFG_triangularis,AVH-_vs_HC,AVH-,HC,-0.02812914700735386,-0.5955816707509864,0.8422796762768724,40.727271370982336,0.8232603845501419,-0.173072764675636
L_IFG_opercularis,AVH+_vs_AVH-,AVH+,AVH-,-0.05396112708638058,-1.479404843552282,2.0921943939920844,37.30162885067385,0.31217528335817957,-0.436252688156756
L_IFG_opercularis,AVH+_vs_HC,AVH+,HC,-0.010630141080154677,-0.38279641789896657,0.5413558858205576,45.93486554160669,0.9225439113062809,-0.11049032415805486
L_IFG_opercularis,AVH-_vs_HC,AVH-,HC,0.0433309860062259,1.185955893041034,1.6771949083149262,37.88383413553289,0.4687014796175155,0.34538374920796583
L_STS,AVH+_vs_AVH-,AVH+,AVH-,-0.021399599719671134,-0.3908279125717796,0.552714134512977,42.19507867450649,0.9194149656775666,-0.11524886389903659
L_STS,AVH+_vs_HC,AVH+,HC,-0.06795106702354616,-1.4709811539817066,2.0802814979561557,44.879562595966824,0.3143232988223307,-0.42565115712296997
L_STS,AVH-_vs_HC,AVH-,HC,-0.04655146730387502,-0.8870587326277309,1.2544904903036262,40.784733757908285,0.6514479613328735,-0.25776234019338434
R_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,-0.008970975393996293,-0.15099629711469548,0.2135410112477198,43.73333473963867,0.9875126328857939,-0.044526378837473506
R_STG_posterior,AVH+_vs_HC,AVH+,HC,-0.009436731231155938,-0.17035570306576056,0.24091934570320245,45.50715332576223,0.9841337105396458,-0.04923954783703948
