roi,comparison,group1,group2,mean_diff,t_stat,q_stat,df,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,-0.017591889036576408,-0.6624937154535987,0.9369075973814215,43.93960150750933,0.786292824083506,-0.19535873869360876
L_STG_posterior,AVH+_vs_HC,AVH+,HC,0.00882422592207463,0.22111465298357336,0.31270334108879,35.89133315962886,0.9734271911918759,0.06308083317538651
L_STG_posterior,AVH-_vs_HC,AVH-,HC,0.026416114958651038,0.656559999913509,0.9285160563893626,36.64482054505795,0.7898497577959274,0.18740406500512777
L_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,0.03270275069412238,0.9982198171797869,1.4116960036852462,40.34110969925993,0.582233320744604,0.29435896503514314
L_STG_anterior,AVH+_vs_HC,AVH+,HC,0.0529476972873367,1.4853814915605208,2.1006466506628656,45.08206002800084,0.30741395475534405,0.4296805574595217
L_STG_anterior,AVH-_vs_HC,AVH-,HC,0.020244946593214318,0.657735826599358,0.9301789264354905,44.78120176167897,0.7889670127276307,0.18905334886074426
L_MTG,AVH+_vs_AVH-,AVH+,AVH-,0.05166844638050212,1.2456702369376063,1.7616437433216696,38.287692342012306,0.43418693308333345,0.3673281129160298
L_MTG,AVH+_vs_HC,AVH+,HC,0.04321483859198782,1.0332455838848376,1.461229917992045,39.45518326134974,0.560632410961299,0.300556577382807
L_MTG,AVH-_vs_HC,AVH-,HC,-0.008453607788514299,-0.25667271505284206,0.3629900347188541,45.98682174880576,0.9643624010674299,-0.07405405604490257
L_IFG_triangularis,AVH+_vs_AVH-,AVH+,AVH-,-0.004096654203274974,-0.14682541376403405,0.20764249144613828,42.58350814213132,0.9881888044015475,-0.04329645243724267
L_IFG_triangularis,AVH+_vs_HC,AVH+,HC,0.00905446670199286,0.3392832518588318,0.4798189762648066,41.32745731722204,0.9386131482937025,0.09854488371391133
L_IFG_triangularis,AVH-_vs_HC,AVH-,HC,0.013151120905267833,0.5507368230692796,0.7788594844828469,44.85323451669421,0.8466279791241504,0.15937052905057603
L_IFG_opercularis,AVH+_vs_AVH-,AVH+,AVH-,-0.02813753190490863,-1.2994910863655937,1.8377579185211699,40.73516099025376,0.4036338190067723,-0.38319901555919106
L_IFG_opercularis,AVH+_vs_HC,AVH+,HC,-0.0014766359103681626,-0.06619735363314715,0.09361719530120458,43.23879200463219,0.9975871014813807,-0.019193278284370095
L_IFG_opercularis,AVH-_vs_HC,AVH-,HC,0.026660895994540468,1.3957774773322822,1.9739274384982188,45.94264426683619,0.35146853334386274,0.4022665900556108
L_STS,AVH+_vs_AVH-,AVH+,AVH-,0.034321801415037205,1.0076838244685657,1.425080131147435,43.21436619376667,0.5760699767688633,0.2971497485305866
L_STS,AVH+_vs_HC,AVH+,HC,0.0013634467525812585,0.040010503279883806,0.05658339637578488,44.59746180625893,0.9991178203805919,0.011582342246569179
L_STS,AVH-_vs_HC,AVH-,HC,-0.032958354662455946,-1.0397222872720058,1.470389359761646,45.91761977569456,0.5559574154090896,-0.3001347077644685
R_STG_posterior,AVH+_vs_AVH-,AVH+,AVH-,-0.01570215486901122,-0.3298105323044719,0.46642252779847393,39.322590644086766,0.9418915485811901,-0.09725582008691847
R_STG_posterior,AVH+_vs_HC,AVH+,HC,0.04075233214688691,0.8865430527022372,1.2537612087591494,37.192712780131224,0.6520502990967927,0.2583163676801365
R_STG_posterior,AVH-_vs_HC,AVH-,HC,0.05645448701589813,1.5472661129940122,2.1881647215964337,44.86514939779923,0.279013222942328,0.44773511523991294
R_STG_anterior,AVH+_vs_AVH-,AVH+,AVH-,-0.021112437609016252,-0.8728856032485495,1.2344466585143192,42.676542296402765,0.6601302595539442,-0.2573999216848271
R_STG_anterior,AVH+_vs_HC,AVH+,HC,0.022130336905343703,0.7968232273262932,1.1268782148987437,45.808807365998526,0.7068518747871975,0.2295071387884678
R_STG_anterior,AVH-_vs_HC,AVH-,HC,0.043242774514359955,1.6726990242712465,2.36555364589264,43.58166685060055,0.22709258117216036,0.48008598906745054
R_MTG,AVH+_vs_AVH-,AVH+,AVH-,0.006102693104721082,0.2076896911578948,0.2937175780005743,43.982489296869524,0.9765137319186191,0.061244348675052906
R_MTG,AVH+_vs_HC,AVH+,HC,0.01633816465159969,0.49035550556481927,0.6934674063540831,44.80335600285267,0.8762479371115974,0.14094763503257388
R_MTG,AVH-_vs_HC,AVH-,HC,0.010235471546878608,0.3096077271959474,0.43785144681601823,44.517798092423675,0.9485934748105898,0.08895860429020222
R_IFG,AVH+_vs_AVH-,AVH+,AVH-,-0.014983623840928151,-0.5459781869647018,0.7721297567653547,43.744934094255726,0.8490593101019781,-0.16100018380795958
R_IFG,AVH+_vs_HC,AVH+,HC,-0.027640675521697626,-1.0592728987344497,1.498038099644521,43.606551081536345,0.54412257482584,-0.3070071270660087
R_IFG,AVH-_vs_HC,AVH-,HC,-0.012657051680769475,-0.5069366499852739,0.716916685673157,44.85826139184194,0.8683517506310461,-0.1466946657486139
L_Heschl,AVH+_vs_AVH-,AVH+,AVH-,-0.029200285217603265,-0.8875879315547536,1.255238890603415,36.35901268678948,0.6514750385457371,-0.26173540177582366
L_Heschl,AVH+_vs_HC,AVH+,HC,0.04299695324152708,0.9809129149092665,1.3872203477716105,45.17517211495883,0.5925689742681004,0.2821181351712986
L_Heschl,AVH-_vs_HC,AVH-,HC,0.07219723845913034,1.9123991476836586,2.7045408113249776,35.44285013811985,0.15001872402983085,0.5454129911336434
R_Heschl,AVH+_vs_AVH-,AVH+,AVH-,-0.03508761521683348,-1.0499787030079162,1.4848941219967071,42.65214655541679,0.5499467859590423,-0.3096218277849379
R_Heschl,AVH+_vs_HC,AVH+,HC,0.023789056391449417,0.6447800838850996,0.9118567393783698,45.99566793077696,0.7962272373356212,0.18600111525525204
R_Heschl,AVH-_vs_HC,AVH-,HC,0.058876671608282895,1.7266613182467643,2.441867853889581,44.75240472580797,0.20657244540061692,0.49627476474645954
