roi,F_stat,df_num,df_den,p_value,eta_squared,p_fdr
L_STG_posterior,1.0490136267323116,2,43.83447000208267,0.3589103088505069,0.027381191718337146,0.8844943821144795
L_STG_anterior,1.4696511967425887,2,44.35225449669517,0.24098924308544553,0.036953298892787804,0.8844943821144795
L_MTG,0.6385590388881003,2,44.63906874654857,0.5328075107632906,0.01671804094438268,0.8844943821144795
L_IFG_triangularis,0.32952061673999816,2,42.39622144621424,0.7210940652572541,0.008562201335016116,0.8844943821144795
L_IFG_opercularis,1.0958659702950637,2,43.615810712533545,0.3432758755937812,0.04007149128314339,0.8844943821144795
L_STS,1.12296385801836,2,44.18342005719089,0.3344210585490737,0.02723950459399236,0.8844943821144795
R_STG_posterior,0.017205903823796,2,44.94385895143812,0.9829477437374765,0.0004986587202161183,0.9829477437374765
R_STG_anterior,0.40221147341361163,2,40.85731222991073,0.6714584104241127,0.013903305475526696,0.8844943821144795
R_MTG,0.6875185036221904,2,43.80091210445607,0.508165765669155,0.018073566387280884,0.8844943821144795
R_IFG,0.3072299478886932,2,43.1032032654055,0.7370786517620663,0.007955128922109821,0.8844943821144795
L_Heschl,0.16523825874431106,2,44.64696336598689,0.8482077257024148,0.005673249880391295,0.9253175189480889
R_Heschl,0.9205209524510266,2,44.18775597666832,0.40581367190350753,0.021708248051084157,0.8844943821144795
