roi,F_stat,p_value,p_fdr
L_STG_posterior,0.9571689448080917,0.3890904419557194,0.9146311628481326
L_STG_anterior,1.3046222586197451,0.2779776179986028,0.9146311628481326
L_MTG,0.5780777190857209,0.5637082773050105,0.9146311628481326
L_IFG_triangularis,0.2936289556264116,0.7464935537411719,0.9146311628481326
L_IFG_opercularis,1.4193043453288474,0.24895580433129566,0.9146311628481326
L_STS,0.9520772693479804,0.3910222388447516,0.9146311628481326
R_STG_posterior,0.01696285516299479,0.9831843629264433,0.9831843629264433
R_STG_anterior,0.4793773154222612,0.6212452804645515,0.9146311628481326
R_MTG,0.6258119102738355,0.5378787038260145,0.9146311628481326
R_IFG,0.2726432959205306,0.7621926357067772,0.9146311628481326
L_Heschl,0.1714914318920651,0.842770676320421,0.9193861923495502
R_Heschl,0.40547132842812306,0.668263561394316,0.9146311628481326
