roi,comparison,t_stat,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,-0.666499624854987,0.508571709684224,-0.1965400169302488
L_STG_posterior,AVH+_vs_HC,0.3477014893447992,0.7296504100664315,0.10046001699351875
L_STG_posterior,AVH-_vs_HC,0.807894926429422,0.42330937559898973,0.2334218878124897
L_STG_anterior,AVH+_vs_AVH-,0.9827573811745232,0.3311001103114166,0.28979934141207114
L_STG_anterior,AVH+_vs_HC,1.9429683845736887,0.05815475687227503,0.5613741755893978
L_STG_anterior,AVH-_vs_HC,1.283308765494517,0.20581164666357207,0.3707813292156067
L_MTG,AVH+_vs_AVH-,0.8607203394765268,0.3940581758132088,0.25381258110945243
L_MTG,AVH+_vs_HC,0.6313225444203973,0.5309544332608832,0.18240552739758709
L_MTG,AVH-_vs_HC,-0.18106068612543866,0.8571153614803453,-0.05231314838281351
L_IFG_triangularis,AVH+_vs_AVH-,0.9101117418385123,0.367722469740279,0.26837731107242196
L_IFG_triangularis,AVH+_vs_HC,0.5970435206917939,0.5534058406708262,0.1725014245627505
L_IFG_triangularis,AVH-_vs_HC,-0.42040306423043533,0.6761484956844366,-0.1214653956654057
L_IFG_opercularis,AVH+_vs_AVH-,-0.9746885335759747,0.33504317900512737,-0.2874199680643797
L_IFG_opercularis,AVH+_vs_HC,-0.041547735851204304,0.9670390541570668,-0.012004223098150624
L_IFG_opercularis,AVH-_vs_HC,1.0454311270522194,0.30128643069924765,0.3020522833742367
L_STS,AVH+_vs_AVH-,0.8110868950044381,0.42168161319026787,0.23917647682211204
L_STS,AVH+_vs_HC,0.32745309675658824,0.7448108364142197,0.09460972895668511
L_STS,AVH-_vs_HC,-0.41111326245346547,0.682898531002956,-0.11878132995680203
R_STG_posterior,AVH+_vs_AVH-,0.19275633391785235,0.8480367723694204,0.056840741868189396
R_STG_posterior,AVH+_vs_HC,1.2631856022977765,0.21288770041055805,0.3649672232118697
R_STG_posterior,AVH-_vs_HC,1.4251622102997896,0.1608605665270737,0.4117664843340974
R_STG_anterior,AVH+_vs_AVH-,-0.7021119834765933,0.4863070693771563,-0.20704152856716745
R_STG_anterior,AVH+_vs_HC,1.3514020552448829,0.18317567562000037,0.39045525427804084
R_STG_anterior,AVH-_vs_HC,1.9785341437215698,0.05387453274620946,0.5716500498029834
R_MTG,AVH+_vs_AVH-,0.364612988788136,0.7171469164603288,0.1075185046128127
R_MTG,AVH+_vs_HC,0.6715258813588594,0.5052441458362947,0.19402131863174238
R_MTG,AVH-_vs_HC,0.4087179586336639,0.684643259140141,0.1180892642918106
R_IFG,AVH+_vs_AVH-,0.24461577705313023,0.8078911355842463,0.07213325735012745
R_IFG,AVH+_vs_HC,-0.34180462647504917,0.7340545833685339,-0.09875625971246756
R_IFG,AVH-_vs_HC,-0.5660225008903066,0.5741295614198013,-0.16353864392500828
L_Heschl,AVH+_vs_AVH-,0.2575549863774724,0.7979511299400792,0.07594882201788482
L_Heschl,AVH+_vs_HC,1.832480295562434,0.07335762774574248,0.5294512887459507
L_Heschl,AVH-_vs_HC,1.6509206019402758,0.1055668184188939,0.4769939640994841
R_Heschl,AVH+_vs_AVH-,-0.11759101491180911,0.906926881541137,-0.03467569852967362
R_Heschl,AVH+_vs_HC,1.020379186723998,0.312885326343008,0.2948141252753565
R_Heschl,AVH-_vs_HC,1.2797753881896874,0.20704117778220427,0.36976044447692874
