roi,comparison,t_stat,p_value,cohens_d
L_STG_posterior,AVH+_vs_AVH-,-0.7664293228995733,0.44751353638903435,-0.22600767724557275
L_STG_posterior,AVH+_vs_HC,-1.3899526254783565,0.17123340471273052,-0.4015935181608399
L_STG_posterior,AVH-_vs_HC,-0.6283202049918019,0.5329016196782155,-0.18153807333351227
L_STG_anterior,AVH+_vs_AVH-,0.5183325770479243,0.606823175637758,0.15284793819750978
L_STG_anterior,AVH+_vs_HC,1.705567669797516,0.09483349573398375,0.49278292541779556
L_STG_anterior,AVH-_vs_HC,0.9762449225933494,0.33404939070495854,0.2820625867849225
L_MTG,AVH+_vs_AVH-,-0.8359051240772649,0.40772484591433134,-0.2464949733077079
L_MTG,AVH+_vs_HC,-1.0666272319795798,0.2917064981857251,-0.30817639019129844
L_MTG,AVH-_vs_HC,-0.10691374817568965,0.9153223356944695,-0.030890166673746
L_IFG_triangularis,AVH+_vs_AVH-,0.04334525078106805,0.965622432184041,0.012781817130370514
L_IFG_triangularis,AVH+_vs_HC,-0.7651999905231975,0.4480607565970931,-0.22108620873685833
L_IFG_triangularis,AVH-_vs_HC,-0.6026741238785793,0.5496852635861569,-0.17412825248601918
L_IFG_opercularis,AVH+_vs_AVH-,-1.479404843552282,0.14615669012750473,-0.436252688156756
L_IFG_opercularis,AVH+_vs_HC,-0.3820229339364451,0.7042035915993878,-0.11037637632064175
L_IFG_opercularis,AVH-_vs_HC,1.2055105640975046,0.23417096790922068,0.34830340239068386
L_STS,AVH+_vs_AVH-,-0.3908279125717796,0.6978104686989184,-0.11524886389903659
L_STS,AVH+_vs_HC,-1.4755637490378115,0.14687368142451956,-0.4263288017048467
L_STS,AVH-_vs_HC,-0.8975353730849481,0.3741070384899362,-0.2593213477523655
R_STG_posterior,AVH+_vs_AVH-,-0.1509962971146955,0.8806687872966308,-0.044526378837473506
R_STG_posterior,AVH+_vs_HC,-0.1704926285988462,0.8653704223293048,-0.049259761292897546
R_STG_posterior,AVH-_vs_HC,-0.00808733345213252,0.9935822844490196,-0.0023366412883777253
R_STG_anterior,AVH+_vs_AVH-,0.8460293378510906,0.4021141079556879,0.24948044107439432
R_STG_anterior,AVH+_vs_HC,0.7358021725855712,0.4655866451404339,0.21259241339778331
R_STG_anterior,AVH-_vs_HC,-0.3619348340166169,0.7190581269879537,-0.10457240101091209
R_MTG,AVH+_vs_AVH-,-1.0508987988328007,0.29904279989989957,-0.30989314924147976
R_MTG,AVH+_vs_HC,-0.8725666475927014,0.38743135554321595,-0.2521072325871291
R_MTG,AVH-_vs_HC,0.3449908919470156,0.7316737329048111,0.09967685480126857
R_IFG,AVH+_vs_AVH-,0.16481226173479005,0.8698466089694813,0.048600484536980695
R_IFG,AVH+_vs_HC,-0.6366237000151977,0.5275254609340316,-0.18393716933027618
R_IFG,AVH-_vs_HC,-0.6675619815016498,0.5077486575416015,-0.19287604471368625
L_Heschl,AVH+_vs_AVH-,0.17218147843494283,0.8640843881984956,0.05077354798818041
L_Heschl,AVH+_vs_HC,0.5550758225227574,0.5815321494530546,0.16037586341204926
L_Heschl,AVH-_vs_HC,0.3734820252975214,0.7105054992050517,0.10790868534634307
R_Heschl,AVH+_vs_AVH-,-0.5690622195732407,0.5722075261752773,-0.16780729365545236
R_Heschl,AVH+_vs_HC,-1.0207757195853273,0.3126993987323874,-0.29492869394764687
R_Heschl,AVH-_vs_HC,-0.2468730333331552,0.8061049563820659,-0.07132804973204022
