contrast,roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
sentences_vs_baseline,L_STS,HC_vs_AVH+,0.30151849491197946,-0.27724077737857195,0.9613380475829172,small
sentences_vs_baseline,L_STS,AVH-_vs_AVH+,-0.19090106779148203,-0.7699723981194152,0.3815248093483988,negligible
sentences_vs_baseline,R_STG_posterior,HC_vs_AVH-,0.04931579933939163,-0.4860467035007006,0.7079035625601102,negligible
sentences_vs_baseline,R_STG_posterior,HC_vs_AVH+,0.08830555305492736,-0.46913990606547773,0.7471473140975731,negligible
sentences_vs_baseline,R_STG_posterior,AVH-_vs_AVH+,0.04977201990918037,-0.4970418487071556,0.6829122214768226,negligible
sentences_vs_baseline,R_STG_anterior,HC_vs_AVH-,0.6671679737578081,0.10281334403344829,1.2602869612687024,medium
sentences_vs_baseline,R_STG_anterior,HC_vs_AVH+,0.04235741555748508,-0.549442117652101,0.5933850721946446,negligible
sentences_vs_baseline,R_STG_anterior,AVH-_vs_AVH+,-0.5830713894986724,-1.164441772305556,-0.044742815972123276,medium
sentences_vs_baseline,R_MTG,HC_vs_AVH-,-0.1389977486751409,-0.7076482001627898,0.48181542365174024,negligible
sentences_vs_baseline,R_MTG,HC_vs_AVH+,0.13654035998312775,-0.42098744336399513,0.7165476938738583,negligible
sentences_vs_baseline,R_MTG,AVH-_vs_AVH+,0.2592466488447423,-0.29531421548678555,0.8484379656702882,small
sentences_vs_baseline,R_IFG,HC_vs_AVH-,0.15672764966210154,-0.49427441901521313,0.685923565067615,negligible
sentences_vs_baseline,R_IFG,HC_vs_AVH+,0.13265609778146614,-0.5001717588470342,0.6788387843429105,negligible
sentences_vs_baseline,R_IFG,AVH-_vs_AVH+,-0.03171380655433901,-0.6057354567888864,0.5637671988377948,negligible
sentences_vs_baseline,L_Heschl,HC_vs_AVH-,-0.1186565347606015,-0.6328550722825549,0.4387175129010685,negligible
sentences_vs_baseline,L_Heschl,HC_vs_AVH+,0.08396220668574161,-0.48224677547335737,0.8360740464729289,negligible
sentences_vs_baseline,L_Heschl,AVH-_vs_AVH+,0.19603729134719816,-0.4054758203976255,0.8372263877153048,negligible
sentences_vs_baseline,R_Heschl,HC_vs_AVH-,-0.07193363551301404,-0.6339065956165656,0.4691278329594104,negligible
sentences_vs_baseline,R_Heschl,HC_vs_AVH+,0.3285131570002629,-0.2533948473846144,0.8812603365925861,small
sentences_vs_baseline,R_Heschl,AVH-_vs_AVH+,0.36817573300290657,-0.21270416535240616,0.9462374950583498,small
reversed_vs_baseline,L_STG_posterior,HC_vs_AVH-,0.37987943866478635,-0.19435460655333112,0.9379468021184866,small
reversed_vs_baseline,L_STG_posterior,HC_vs_AVH+,0.24602449542186824,-0.2709306736582805,0.839096439133489,small
reversed_vs_baseline,L_STG_posterior,AVH-_vs_AVH+,-0.16753726385790316,-0.8067647250434268,0.37586298296426573,negligible
reversed_vs_baseline,L_STG_anterior,HC_vs_AVH-,0.034017581616252776,-0.5506115581081038,0.5904204499119483,negligible
reversed_vs_baseline,L_STG_anterior,HC_vs_AVH+,-0.13143519774001877,-0.7529473911400028,0.4364208397379107,negligible
reversed_vs_baseline,L_STG_anterior,AVH-_vs_AVH+,-0.19365795033210098,-0.7756759867069234,0.39803738191028026,negligible
reversed_vs_baseline,L_MTG,HC_vs_AVH-,0.03634166928231303,-0.5448221456380555,0.687283309318446,negligible
reversed_vs_baseline,L_MTG,HC_vs_AVH+,0.21049515274929428,-0.3594301232433578,0.7840909576303104,small
reversed_vs_baseline,L_MTG,AVH-_vs_AVH+,0.168255331485795,-0.4457544713433818,0.7099095790496674,negligible
reversed_vs_baseline,L_IFG_triangularis,HC_vs_AVH-,0.36903999871154186,-0.18497030905567655,0.9500286063341952,small
reversed_vs_baseline,L_IFG_triangularis,HC_vs_AVH+,0.1566161479098249,-0.4007319387380407,0.7417921011695703,negligible
reversed_vs_baseline,L_IFG_triangularis,AVH-_vs_AVH+,-0.2748293329910936,-0.8161072279373639,0.2871519924973987,small
reversed_vs_baseline,L_IFG_opercularis,HC_vs_AVH-,0.02693026332243478,-0.5513840293892338,0.6125818901380926,negligible
reversed_vs_baseline,L_IFG_opercularis,HC_vs_AVH+,0.12264284361680312,-0.4679912949205594,0.7546336019345464,negligible
reversed_vs_baseline,L_IFG_opercularis,AVH-_vs_AVH+,0.0917342412916157,-0.5128067525291823,0.6886343894603436,negligible
reversed_vs_baseline,L_STS,HC_vs_AVH-,0.19050809599732813,-0.3848353031324765,0.7931863226793745,negligible
reversed_vs_baseline,L_STS,HC_vs_AVH+,0.2675744310782582,-0.23926352658688982,0.8611376974984923,small
reversed_vs_baseline,L_STS,AVH-_vs_AVH+,0.06347831105726286,-0.5222458467392265,0.6559155966375874,negligible
reversed_vs_baseline,R_STG_posterior,HC_vs_AVH-,0.39113062721388875,-0.14984238431013452,1.037832131829325,small
reversed_vs_baseline,R_STG_posterior,HC_vs_AVH+,0.19483538104352968,-0.3195903249814481,0.9365707911147115,negligible
reversed_vs_baseline,R_STG_posterior,AVH-_vs_AVH+,-0.13755249162587713,-0.6808949016681836,0.4746407755224303,negligible
reversed_vs_baseline,R_STG_anterior,HC_vs_AVH-,0.5738241473875701,0.03670099234692677,1.1759225853971238,medium
reversed_vs_baseline,R_STG_anterior,HC_vs_AVH+,-0.05166082007238694,-0.6055762124619831,0.5380017654060376,negligible
reversed_vs_baseline,R_STG_anterior,AVH-_vs_AVH+,-0.7300729870148299,-1.3485482587270696,-0.2314688070350445,medium
reversed_vs_baseline,R_MTG,HC_vs_AVH-,0.09109811029087445,-0.4332393872346031,0.7081560708890566,negligible
reversed_vs_baseline,R_MTG,HC_vs_AVH+,0.23849621702953674,-0.27599365704465095,0.887149202980447,small
reversed_vs_baseline,R_MTG,AVH-_vs_AVH+,0.10216496705765239,-0.5102740904623445,0.7191998663282225,negligible
reversed_vs_baseline,R_IFG,HC_vs_AVH-,0.2626615275513203,-0.2806789833639903,0.9026339136957025,small
reversed_vs_baseline,R_IFG,HC_vs_AVH+,-0.028472310570575247,-0.629217731412076,0.539870246973326,negligible
reversed_vs_baseline,R_IFG,AVH-_vs_AVH+,-0.2749088778585368,-0.9167741577755536,0.28982103109023877,small
reversed_vs_baseline,L_Heschl,HC_vs_AVH-,0.262307133974551,-0.34043539785279914,0.7873650492495269,small
reversed_vs_baseline,L_Heschl,HC_vs_AVH+,0.05556528343996784,-0.5108790375209826,0.6084950546390286,negligible
reversed_vs_baseline,L_Heschl,AVH-_vs_AVH+,-0.27478153976031316,-0.8691059366902657,0.27710225333491717,small
reversed_vs_baseline,R_Heschl,HC_vs_AVH-,0.4064770421493175,-0.17165744626856622,1.0325131219393635,small
reversed_vs_baseline,R_Heschl,HC_vs_AVH+,0.2401182959897735,-0.2961976563305111,0.8187943375173901,small
reversed_vs_baseline,R_Heschl,AVH-_vs_AVH+,-0.17043037596673916,-0.8428336750840172,0.3840619683919583,negligible
words_vs_reversed,L_STG_posterior,HC_vs_AVH-,-0.23342188781248935,-0.7517071804191181,0.3555546410490823,small
words_vs_reversed,L_STG_posterior,HC_vs_AVH+,-0.10046001699351823,-0.6142462014907775,0.5201321882363046,negligible
words_vs_reversed,L_STG_posterior,AVH-_vs_AVH+,0.19654001693024906,-0.40139253736522984,0.8201163442539218,negligible
words_vs_reversed,L_STG_anterior,HC_vs_AVH-,-0.37078132921560664,-0.9638488329342911,0.18628557893430978,small
words_vs_reversed,L_STG_anterior,HC_vs_AVH+,-0.5613741755893977,-1.1534042111485496,0.0368327207563911,medium
words_vs_reversed,L_STG_anterior,AVH-_vs_AVH+,-0.28979934141207114,-0.9065457244344264,0.22592364171067403,small
words_vs_reversed,L_MTG,HC_vs_AVH-,0.05231314838281377,-0.5256284498170452,0.5994660128340714,negligible
words_vs_reversed,L_MTG,HC_vs_AVH+,-0.182405527397587,-0.7526225209220117,0.36116744991795496,negligible
words_vs_reversed,L_MTG,AVH-_vs_AVH+,-0.2538125811094526,-0.7945621776285575,0.3704324411103792,small
words_vs_reversed,L_IFG_triangularis,HC_vs_AVH-,0.12146539566540585,-0.49600416645425666,0.655904810121334,negligible
words_vs_reversed,L_IFG_triangularis,HC_vs_AVH+,-0.17250142456275033,-0.764976310545944,0.4258726523781215,negligible
words_vs_reversed,L_IFG_triangularis,AVH-_vs_AVH+,-0.26837731107242196,-0.8277563327425115,0.2954020422411653,small
words_vs_reversed,L_IFG_opercularis,HC_vs_AVH-,-0.3020522833742369,-0.8707711483859464,0.2733277381698438,small
words_vs_reversed,L_IFG_opercularis,HC_vs_AVH+,0.012004223098150446,-0.5448458378355456,0.6660215942811348,negligible
words_vs_reversed,L_IFG_opercularis,AVH-_vs_AVH+,0.2874199680643797,-0.2803912607569014,0.9633395570015171,small
words_vs_reversed,L_STS,HC_vs_AVH-,0.11878132995680254,-0.4338640546874302,0.732490156040508,negligible
words_vs_reversed,L_STS,HC_vs_AVH+,-0.09460972895668479,-0.6533666979132946,0.5196900909540844,negligible
