roi,comparison,cohens_d,d_ci_lower,d_ci_upper,hedges_g,interpretation
L_STG_posterior,HC_vs_AVH-,-0.18509764383030305,-0.7059481664655707,0.37909935488951885,-0.18206325622652758,negligible
L_STG_posterior,HC_vs_AVH+,-0.06227250095589985,-0.6052204048406118,0.5414883925472574,-0.06125164028449165,negligible
L_STG_posterior,AVH-_vs_AVH+,0.19535873869360879,-0.3958031863411565,0.7420038038916266,0.1920097317445755,negligible
L_STG_anterior,HC_vs_AVH-,-0.18804302979955928,-0.7843234285918979,0.3851371180595293,-0.18496035717989437,negligible
L_STG_anterior,HC_vs_AVH+,-0.430220092470262,-1.0465974079052864,0.14234694565336428,-0.42316730406911013,small
L_STG_anterior,AVH-_vs_AVH+,-0.294358965035143,-0.9123139589927993,0.287914410905427,-0.2893128113488263,small
L_MTG,HC_vs_AVH-,0.0739445749658593,-0.5656711673726855,0.6540621657598988,0.072732368818878,negligible
L_MTG,HC_vs_AVH+,-0.30271419819661444,-0.84224636313434,0.3223752731577105,-0.2977516703573257,small
L_MTG,AVH-_vs_AVH+,-0.3673281129160298,-0.92832063507187,0.2751761534180187,-0.361031059551755,small
L_IFG_triangularis,HC_vs_AVH-,-0.15963088443307272,-0.7477534577331252,0.4432350993378413,-0.15701398468826824,negligible
L_IFG_triangularis,HC_vs_AVH+,-0.09909330334031372,-0.708406635049314,0.4886372017757623,-0.09746882295768562,negligible
L_IFG_triangularis,AVH-_vs_AVH+,0.043296452437242755,-0.5258512553241325,0.5976506861529339,0.04255422753831859,negligible
L_IFG_opercularis,HC_vs_AVH-,-0.40122084970988914,-0.9904583361703838,0.1750209191075623,-0.3946434587310385,small
L_IFG_opercularis,HC_vs_AVH+,0.019264095237021776,-0.585208871695542,0.6660127105019678,0.018948290397070598,negligible
L_IFG_opercularis,AVH-_vs_AVH+,0.3831990155591907,-0.22213054280941777,0.9911838152047321,0.37662988957817606,small
L_STS,HC_vs_AVH-,0.2998556704092485,-0.23629822155189267,0.8991646813838986,0.294940003681228,small
L_STS,HC_vs_AVH+,-0.011605713717571887,-0.5632439863416265,0.6055885424913812,-0.01141545611564448,negligible
L_STS,AVH-_vs_AVH+,-0.29714974853058673,-0.8516177094128414,0.2601080346972534,-0.292055752841491,small
R_STG_posterior,HC_vs_AVH-,-0.44845814586449895,-1.1420335607920504,0.11712491173299262,-0.44110637298147437,small
R_STG_posterior,HC_vs_AVH+,-0.26064165272227174,-0.9003799769768139,0.3103940003159803,-0.2563688387432181,small
R_STG_posterior,AVH-_vs_AVH+,0.09725582008691865,-0.45058560391831376,0.6728009553689702,0.09558857745685718,negligible
R_STG_anterior,HC_vs_AVH-,-0.4768133830227839,-1.0270752985907492,0.12197323597217218,-0.46899677018634484,small
R_STG_anterior,HC_vs_AVH+,-0.22876724196236006,-0.8182747093585314,0.31311656451470604,-0.2250169593072394,small
R_STG_anterior,AVH-_vs_AVH+,0.2573999216848272,-0.2838523570411391,0.8716603559332702,0.25298735159880165,small
R_MTG,HC_vs_AVH-,-0.08845061059898024,-0.6662340608998516,0.5040264019183153,-0.08700060058916088,negligible
R_MTG,HC_vs_AVH+,-0.14019896938018997,-0.729372163488631,0.44431644403746073,-0.137900625619859,negligible
R_MTG,AVH-_vs_AVH+,-0.06124434867505295,-0.6593919450177116,0.510344956603253,-0.06019444555490919,negligible
R_IFG,HC_vs_AVH-,0.14693315214911581,-0.46385336839134267,0.7828884603561166,0.14452441194994997,negligible
R_IFG,HC_vs_AVH+,0.30801387546302317,-0.21140206678964046,0.934420480650532,0.3029644676685474,small
R_IFG,AVH-_vs_AVH+,0.1610001838079592,-0.3709587220646423,0.744654299041941,0.1582401806569656,negligible
L_Heschl,HC_vs_AVH-,-0.5382606392286606,-1.024981496352397,-0.0011621905089137885,-0.5294366943232728,medium
L_Heschl,HC_vs_AVH+,-0.28078745058812066,-0.7581487481003473,0.27171299279949995,-0.2761843776276597,small
L_Heschl,AVH-_vs_AVH+,0.2617354017758234,-0.3553063398909941,0.9995327829221551,0.25724850917395214,small
R_Heschl,HC_vs_AVH-,-0.4936019056747846,-1.0192471202288664,0.03731639257629571,-0.48551007115552586,small
R_Heschl,HC_vs_AVH+,-0.1856972113100998,-0.7229869748563593,0.4543796689505366,-0.18265299473124572,negligible
R_Heschl,AVH-_vs_AVH+,0.30962182778493763,-0.2555760295273585,0.9941071414492135,0.3043140250229101,small
